,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
124,Mexico,Liga MX,2012/2013,26/10/2012,03:00,Puebla,Club America,0,1,A,4.76,3.84,1.8,4.76,3.84,2.1,3.92,3.53,1.85
125,Mexico,Liga MX,2012/2013,27/10/2012,03:30,Club Leon,Chiapas,4,1,H,1.74,3.99,4.98,1.77,4.15,5.2,1.68,3.65,4.73
126,Mexico,Liga MX,2012/2013,27/10/2012,23:00,Atl. San Luis,Queretaro,0,0,D,1.77,3.92,4.84,1.8,4.01,5.7,1.67,3.6,4.87
127,Mexico,Liga MX,2012/2013,27/10/2012,23:00,Cruz Azul,Toluca,3,0,H,2.34,3.47,3.23,2.34,3.47,3.5,2.16,3.25,3.21
128,Mexico,Liga MX,2012/2013,28/10/2012,01:00,Monarcas,Club Tijuana,1,1,D,2.04,3.62,3.86,2.15,3.7,4.0,2.03,3.29,3.46
129,Mexico,Liga MX,2012/2013,28/10/2012,01:00,Monterrey,Santos Laguna,3,2,H,1.91,3.72,4.26,2.4,4.15,8.38,1.86,3.44,4.06
130,Mexico,Liga MX,2012/2013,28/10/2012,01:00,Pachuca,U.A.N.L.- Tigres,1,0,H,3.03,3.2,2.61,3.5,3.5,2.8,2.83,3.04,2.52
131,Mexico,Liga MX,2012/2013,28/10/2012,18:00,Puebla,Atlante,1,2,A,2.78,3.24,2.81,2.89,3.3,2.95,2.55,3.11,2.71
132,Mexico,Liga MX,2012/2013,28/10/2012,18:00,U.N.A.M.- Pumas,Club America,0,1,A,3.06,3.28,2.54,3.06,3.3,2.85,2.73,3.11,2.53
133,Mexico,Liga MX,2012/2013,28/10/2012,23:00,Guadalajara Chivas,Atlas,2,0,H,2.15,3.34,3.83,2.19,3.34,4.2,1.97,3.21,3.74
134,Mexico,Liga MX,2012/2013,03/11/2012,01:30,Chiapas,U.N.A.M.- Pumas,3,0,H,2.04,3.6,3.85,2.1,3.6,4.0,2.03,3.27,3.51
135,Mexico,Liga MX,2012/2013,03/11/2012,03:30,Santos Laguna,Cruz Azul,2,1,H,2.68,3.29,2.87,2.68,3.42,3.0,2.4,3.2,2.83
136,Mexico,Liga MX,2012/2013,03/11/2012,23:00,Club America,Pachuca,4,0,H,1.82,3.72,4.82,1.84,3.72,4.82,1.76,3.45,4.41
137,Mexico,Liga MX,2012/2013,03/11/2012,23:00,Queretaro,Guadalajara Chivas,0,1,A,4.28,3.31,2.04,4.69,3.4,2.04,4.05,3.26,1.89
