,Date,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA
186,01/12/2019,2.0,2.0,D,Norwich,Arsenal,4.27,4.33,1.78,4.56,4.49,1.71
187,01/12/2021,1.0,4.0,A,Everton,Liverpool,7.67,5.17,1.43,9.13,5.18,1.38
188,01/12/2021,0.0,0.0,D,Wolves,Burnley,1.98,3.43,4.39,1.88,3.43,4.94
189,01/12/2021,1.0,1.0,D,West Ham,Brighton,2.05,3.6,3.87,2.04,3.45,4.49
190,01/12/2021,1.0,2.0,A,Aston Villa,Man City,8.57,5.25,1.39,7.4,4.69,1.48
191,01/12/2021,2.0,2.0,D,Southampton,Leicester,2.47,3.56,2.98,2.42,3.57,3.02
192,01/12/2021,1.0,2.0,A,Watford,Chelsea,10.31,5.61,1.33,11.04,5.51,1.32
193,02/01/13,1.0,2.0,A,Newcastle,Everton,3.31,3.5,2.31,3.82,3.46,2.13
194,02/01/13,3.0,0.0,H,Liverpool,Sunderland,1.38,5.05,10.25,1.4,5.09,9.17
195,02/01/13,0.0,1.0,A,Chelsea,QPR,1.22,7.2,17.1,1.29,6.05,12.25
196,02/01/17,0.0,2.0,A,West Ham,Man United,5.77,4.13,1.65,6.5,4.57,1.54
197,02/01/17,2.0,2.0,D,Sunderland,Liverpool,9.95,5.55,1.35,10.0,6.2,1.32
198,02/01/17,0.0,0.0,D,Middlesbrough,Leicester,2.8,3.16,2.88,2.78,3.06,2.99
199,02/01/17,2.0,1.0,H,Man City,Burnley,1.18,8.55,17.5,1.19,7.75,18.5
200,02/01/17,3.0,1.0,H,West Brom,Hull,1.76,3.72,5.48,2.01,3.27,4.65
201,02/01/17,3.0,0.0,H,Everton,Southampton,2.28,3.33,3.55,2.48,3.25,3.24
202,02/01/2016,2.0,1.0,H,Man United,Swansea,1.52,4.28,7.66,1.49,4.3,8.55
203,02/01/2016,1.0,2.0,A,Watford,Man City,5.14,4.11,1.72,4.99,3.99,1.76
204,02/01/2016,2.0,1.0,H,West Brom,Stoke,2.81,3.2,2.84,2.88,3.16,2.81
205,02/01/2016,2.0,0.0,H,West Ham,Liverpool,3.97,3.62,2.03,4.28,3.55,1.98
206,02/01/2016,3.0,1.0,H,Sunderland,Aston Villa,2.49,3.34,3.14,2.49,3.32,3.15
207,02/01/2016,1.0,0.0,H,Arsenal,Newcastle,1.27,6.47,12.81,1.24,7.25,12.75
208,02/01/2016,0.0,0.0,D,Leicester,Bournemouth,1.94,3.75,4.18,1.94,3.7,4.25
209,02/01/2016,1.0,0.0,H,Norwich,Southampton,3.13,3.49,2.42,3.14,3.18,2.58
210,02/01/2018,1.0,2.0,A,Southampton,Crystal Palace,2.05,3.43,4.16,2.07,3.37,4.16
211,02/01/2018,3.0,1.0,H,Man City,Watford,1.18,8.7,16.95,1.13,10.8,21.5
212,02/01/2018,2.0,1.0,H,West Ham,West Brom,1.98,3.41,4.51,2.19,3.21,3.98
213,02/01/2018,0.0,2.0,A,Swansea,Tottenham,10.54,5.51,1.34,8.02,4.51,1.48
214,02/01/2019,2.0,2.0,D,West Ham,Brighton,1.99,3.62,4.14,2.05,3.55,4.01
215,02/01/2019,0.0,2.0,A,Newcastle,Man United,5.87,4.3,1.6,5.93,4.1,1.62
216,02/01/2019,1.0,2.0,A,Huddersfield,Burnley,2.17,3.18,4.08,2.49,3.04,3.47
217,02/01/2019,0.0,0.0,D,Chelsea,Southampton,1.27,6.08,12.2,1.26,6.11,12.48
218,02/01/2019,3.0,3.0,D,Bournemouth,Watford,2.63,3.54,2.81,2.6,3.47,2.89
219,02/01/2019,0.0,2.0,A,Wolves,Crystal Palace,2.04,3.41,4.24,2.34,3.17,3.62
220,02/01/2020,2.0,0.0,H,Liverpool,Sheffield United,1.23,6.41,14.97,1.3,5.54,12.41
221,02/01/2021,3.0,0.0,H,Tottenham,Leeds,1.81,4.13,4.34,1.89,4.08,3.98
222,02/01/2021,2.0,0.0,H,Crystal Palace,Sheffield United,2.02,3.45,3.84,2.14,3.28,4.0
223,02/01/2021,3.0,3.0,D,Brighton,Wolves,2.68,3.28,2.91,2.87,3.09,2.86
224,02/01/2021,0.0,4.0,A,West Brom,Arsenal,5.98,4.09,1.63,6.21,4.14,1.61
225,02/01/2022,2.0,2.0,D,Chelsea,Liverpool,3.14,3.6,2.29,2.67,3.58,2.72
226,02/01/2022,3.0,1.0,H,Leeds,Burnley,2.02,3.59,3.83,2.12,3.52,3.73
227,02/01/2022,2.0,3.0,A,Everton,Brighton,2.87,3.08,2.78,2.91,3.12,2.67
228,02/01/2022,2.0,1.0,H,Brentford,Aston Villa,3.09,3.3,2.46,2.95,3.21,2.69
229,02/02/13,2.0,2.0,D,Wigan,Southampton,2.24,3.53,3.44,2.25,3.43,3.47
230,02/02/13,1.0,0.0,H,West Ham,Swansea,2.34,3.42,3.33,2.49,3.38,3.08
231,02/02/13,2.0,1.0,H,Reading,Sunderland,2.52,3.39,3.04,2.46,3.34,3.18
232,02/02/13,0.0,0.0,D,QPR,Norwich,1.95,3.59,4.35,2.34,3.27,3.52
233,02/02/13,3.0,2.0,H,Newcastle,Chelsea,4.0,3.6,2.03,4.26,3.65,1.95
234,02/02/13,1.0,0.0,H,Arsenal,Stoke,1.43,4.68,9.15,1.41,4.76,9.98
235,02/02/13,3.0,3.0,D,Everton,Aston Villa,1.37,5.13,10.25,1.37,5.11,10.15
236,02/02/13,0.0,1.0,A,Fulham,Man United,5.73,4.24,1.64,7.2,4.4,1.53
237,02/02/14,2.0,0.0,H,Arsenal,Crystal Palace,1.23,6.88,17.01,1.25,6.37,16.46
238,02/02/14,1.0,1.0,D,West Brom,Liverpool,5.89,4.19,1.64,5.66,4.15,1.66
239,02/02/2016,3.0,0.0,H,Man United,Stoke,1.68,3.82,6.17,1.62,3.92,6.75
240,02/02/2016,2.0,0.0,H,Leicester,Liverpool,2.62,3.44,2.88,2.92,3.31,2.67
241,02/02/2016,1.0,2.0,A,Crystal Palace,Bournemouth,2.48,3.25,3.23,2.64,3.28,2.97
242,02/02/2016,2.0,0.0,H,West Ham,Aston Villa,1.89,3.57,4.69,1.86,3.54,4.95
243,02/02/2016,0.0,0.0,D,Arsenal,Southampton,1.76,3.72,5.39,1.83,3.65,4.97
244,02/02/2016,1.0,1.0,D,West Brom,Swansea,2.68,3.04,3.14,2.59,3.09,3.22
245,02/02/2016,0.0,1.0,A,Sunderland,Man City,7.5,4.73,1.48,7.28,4.89,1.47
246,02/02/2016,0.0,3.0,A,Norwich,Tottenham,4.57,3.79,1.85,5.08,3.98,1.75
247,02/02/2019,1.0,0.0,H,Tottenham,Newcastle,1.43,4.47,9.35,1.44,4.39,9.48
248,02/02/2019,1.0,3.0,A,Everton,Wolves,2.44,3.33,3.21,2.74,3.21,2.9
249,02/02/2019,2.0,0.0,H,Crystal Palace,Fulham,2.05,3.59,3.9,2.06,3.45,4.03
250,02/02/2019,5.0,0.0,H,Chelsea,Huddersfield,1.22,6.93,14.33,1.23,6.54,15.2
251,02/02/2019,2.0,0.0,H,Cardiff,Bournemouth,3.31,3.48,2.33,3.43,3.53,2.25
252,02/02/2019,1.0,1.0,D,Burnley,Southampton,2.59,3.43,2.91,2.59,3.36,2.95
253,02/02/2019,0.0,0.0,D,Brighton,Watford,2.65,3.27,2.95,2.5,3.24,3.2
254,02/02/2020,2.0,0.0,H,Tottenham,Man City,5.7,4.48,1.58,6.08,4.77,1.52
255,02/02/2020,0.0,0.0,D,Burnley,Arsenal,3.82,3.62,2.04,4.03,3.71,1.96
256,02/02/2021,1.0,2.0,A,Newcastle,Crystal Palace,3.01,3.16,2.68,3.01,3.45,2.49
257,02/02/2021,9.0,0.0,H,Man United,Southampton,1.46,4.81,7.59,1.45,4.95,7.33
